Document,Left,Term,Right
0,costumbre la custodia de la ,casa,". Inés, encerrada en su aposento"
0,la dejan suelta por la ,casa,? ¿Acaso es alguna fiera? Advertí
0,Pero no dicen que se ,casa, usted con Doña Restituta? --¿Yo
0,que Inés entró en esta ,casa,", experimenté una sensación desconocida. Yo"
0,mujer que vivía en mi ,casa,; pero aquello no pasó de
0,que estoy escribiendo en mi ,casa,", y que tiene ya ocho"
0,que ella está en esta ,casa,", me he vuelto todo del"
0,jugarreta. Esta mañana estuvo en ,casa, a tomarme medida de unos
0,que estuvo esta mañana en ,casa, (y por cierto que se
0,para el gasto de la ,casa,? --preguntó la digna hermana--. Porque
0,"a propósito, Restituta, ¿cuándo se ",casa, usted? --¡Jesús! ¿Quién piensa ahora
0,"el amo, reinaban en la ",casa, el sosiego y la tranquilidad
0,duda hay ladrones en la ,casa, --dije levantándome. Restituta llamaba angustiosamente
0,caso me arrojarían de la ,casa,", imposibilitando de un modo absoluto"
0,la niña cuando salen de ,casa,", la niña no se reiría"
0,entrando difícilmente en la oscura ,casa,", le encontró despierto aún y"
0,sol sino para ir a ,casa, del señor Vicario a tomar
0,nuestros carceleros estuviesen en la ,casa,", era pensar en lo excusado"
0,no se movía de la ,casa,", ni del cuarto, ni de"
0,puestos en almoneda en una ,casa, de la plazuela de Afligidos
0,y volviose aquella a su ,casa, sin aflojar los cordones de
0,y dirigiéndome a mi antigua ,casa,", buscáronme allí una mujer que"
0,presentó mi comisionada en la ,casa,", diciendo que la señora de"
0,"Arroiz, estuvo de escribiente en ",casa," de Mr. Hipólito Sajous, en"
0,"en Bayona, y después en ",casa," de otro Sajous, en Saint"
0,guipuzcoano que falleció en nuestra ,casa,. A este tenor continuaron hablando
0,mandaba una persona de la ,casa, que la quería mucho y
0,busca suya. Ha ido en ,casa, de una amiga... --Tú eres
0,os fugáis de esta santa ,casa,! Ya os arreglaré yo. Adentro
0,mujer para sacarme de la ,casa,", pues en la plazuela de"
0,el infierno dentro de la ,casa," --añadió Restituta--. La horca, sí"
0,dice al señor alcalde de ,casa, y Corte. ¡Pero cómo nos
0,los días iban ambos a ,casa," de Godoy; otrosí, que el"
0,tiempo lo que teníamos en ,casa," --dijo Restituta. --Por supuesto, que"
0,que tenía yo en mi ,casa,"! --vociferó D. Mauro, amenazando segunda"
0,no puede quedar en la ,casa," hasta mañana, no, señor --observó"
0,Pero me dejas en la ,casa, a este ladronzuelo? --En el
0,dicho que se quedará en ,casa, esta noche. La conferencia terminó
0,como el pan de esta ,casa,. Si no fuera por esta
0,Al fin salimos de la ,casa, y huimos a toda prisa
0,XXV Al entrar en mi ,casa,", donde yo pensaba descansar un"
0,de la verdadera situación en ,casa," de los Requejos, por lo"
0,dejase de acudir a su ,casa,", en compañía de mi sobrina"
0,acordarme. Era en la misma ,casa, donde ustedes vivían. --Pero la
0,primavera se traslada a la ,casa," de su hermano, allá por"
